#,Module,Feature,Function,Description,Acceptance Criteria,Remark
MVP,,,,,,
1,Authentication,User Account (Creator),Register a new Creator account using email and password.,"Given a new user wants to create content, 
When they open the Sign Up page and submit their details, 
Then a new Creator account is created and they are logged in.","- Email must be unique with real-time validation feedback. 
- Password must be at least 8 characters with strength indicator. 
- Clear error messages for validation failures.
- Success message with next steps guidance.
- On success, user is redirected to onboarding flow.",Core
2,,,Login to a Creator account.,"Given a registered Creator wants to access their account, 
When they submit the correct credentials on the Login page, 
Then they are authenticated and redirected to their dashboard.","- Clear error messages for incorrect credentials with retry guidance. 
- Loading state during authentication process.
- Remember me functionality with secure token storage.
- On success, user is redirected to dashboard with welcome message.",Core
3,Quiz Management,Quiz Set,View list of all owned quiz sets on a dashboard.,"Given a Creator is logged in, 
When they open their ""My Quizzes"" dashboard, 
Then a list of all their quiz sets is displayed as interactive cards.","- Prominent ""Create New Quiz"" button with clear visual hierarchy. 
- Each card shows Title, Image, question count, last modified date, and quick actions.
- Empty state with helpful guidance for first-time users.
- Search and filter functionality for large collections.
- Responsive grid layout that works on mobile devices.",Core
4,,,"Create a new quiz set (Title, Description, Cover Image).","Given a Creator is on their dashboard, 
When they click ""Create New Quiz"" and fill in the title/description, 
Then a new quiz set is created and they are taken to the editor.","- Step-by-step wizard with progress indicator. 
- Title is a required field with character count and validation.
- Optional description with rich text formatting.
- Image upload with drag-and-drop functionality and preview.
- Auto-save functionality to prevent data loss.
- On save, redirects to the ""Edit Quiz"" page with success message.",Core
5,,,Update an existing quiz set's information.,"Given a Creator is editing a quiz set, 
When they change the title or description and save, 
Then the quiz set's information is updated in the database.",- Changes are reflected immediately upon returning to the dashboard.,Core
6,,,Delete a quiz set.,"Given a Creator is on their dashboard, 
When they select ""Delete"" for a quiz and confirm, 
Then the quiz set and all its associated questions are permanently removed.","- A confirmation modal must be shown before deleting. 
- The quiz card is removed from the UI.",Core
7,,Question,View all questions within a specific quiz set.,"Given a Creator is in the ""Edit Quiz"" page,
When the page loads, 
Then a list of all questions for that quiz is displayed, allowing for selection and reordering.","- Split-screen layout with question list on left and editor on right. 
- Drag-and-drop reordering with visual feedback and auto-save.
- Question preview cards with type icons and difficulty indicators.
- Selecting a question highlights it and shows details in the editor form.
- Empty state with quick-add options for first question.
- Keyboard shortcuts for common actions (Ctrl+N for new question).",Core
8,,,"Add a new question (Multiple Choice, True/False).","Given a Creator is in the editor, 
When they click ""Add Question"" and select ""Multiple Choice"" or ""True/False"", 
Then a form appears for them to create and save the new question.","- Question type selector with visual icons and descriptions. 
- Multiple Choice: minimum 2 answers, maximum 6, with add/remove buttons.
- True/False: simplified interface with toggle buttons.
- Real-time validation with helpful error messages.
- Auto-save draft functionality every 30 seconds.
- Preview mode to test question appearance.",MVP
9,,,Update an existing question.,"Given a Creator selects an existing question in the editor, 
When they modify its content, answers, or time limit and save, 
Then the question is updated.",- The changes are saved without a full page reload.,MVP
10,,,Delete a question.,"Given a Creator is in the editor, 
When they click the delete icon on a question and confirm, 
Then the question is removed from the quiz set.","- A confirmation prompt is required. 
- The question is removed from the list UI.",MVP
11,,,Upload media (image) for a question.,"Given a Creator is editing a question, 
When they use the ""Upload Image"" option, 
Then they can select an image file which is then associated with that question.","- Supports common image formats (JPG, PNG). 
- A preview of the uploaded image is shown.",MVP
12,Live Game,Lobby,Generate a unique 6-digit PIN for a new game session.,"Given a Host starts a game session, 
When the server processes the request,
Then a unique 6-digit PIN is generated and associated with the session.","- Large, prominent PIN display with copy-to-clipboard functionality. 
- PIN must not conflict with other active sessions.
- Visual countdown timer showing session expiration (30 minutes).
- QR code generation for easy mobile access.
- Share buttons for social media and messaging apps.",Core
13,,,Allow anonymous players to join using PIN and a unique nickname.,"Given a Player is on the homepage, 
When they enter a valid Game PIN and a unique nickname, 
Then they are successfully added to the game lobby.","- Clean, minimal join form with clear instructions. 
- Real-time PIN validation with helpful error messages.
- Nickname suggestions and availability checking.
- Loading states and success animations.
- Accessibility support with screen reader compatibility.",Core
14,,,Host can view the list of joined players.,"Given a Host is in the lobby, 
When new players join, 
Then the list of player nicknames on the Host's screen updates in real-time.","- Animated player avatars with smooth join animations. 
- Player count badge with live updates.
- Scrollable list with virtual scrolling for large groups.
- Player status indicators (ready, not ready).
- Bulk actions (kick multiple, send message to all).",MVP
15,,Game Play (Real-time),Host can start the game from the lobby.,"Given a Host is in the lobby with at least one player, 
When they click the ""Start Game"" button, 
Then the game state changes and the first question is sent to all clients.","- Large, prominent ""Start Game"" button with countdown animation. 
- Button disabled state with helpful tooltip when no players.
- Pre-game checklist (minimum players, quiz validation).
- Smooth transition animation to game interface.
- Progress indicator showing game setup status.",Core
16,,,Host can trigger the next question.,"Given a Host is viewing the results of a question, 
When they click ""Next Question"", 
Then the server sends the next question in the sequence to all clients.","- The button should be clearly labeled. 
- The system correctly moves to the next question or the final results screen if it's the last question.",Core
17,,,Player's screen displays options corresponding to the host's screen.,"Given a Host has triggered a new question, 
When a Player's device receives the event, 
Then their screen updates to show the appropriate interface for answering (buttons, etc.).",- The interface must be responsive and work on mobile devices.,Core
18,,,Player can submit their answer.,"Given a Player is viewing a question,
When they click their chosen answer within the time limit, 
Then their selection is sent to the server for processing.","- After submitting, the interface should be disabled to prevent changing the answer.",Core
19,,,Server calculates score based on correctness and time.,"Given a Player submits an answer, 
When the server receives it, 
Then it calculates the score based on correctness and (if enabled) response time.","- The scoring formula is correctly applied. 
- Players who don't answer receive 0 points.",MVP
20,,,Display a simple leaderboard (Top 5) after each question.,"Given the time for a question has ended, 
When the server processes the results, 
Then it sends an updated Top 5 leaderboard to be displayed on all screens.",- The leaderboard is sorted correctly by score.,MVP
21,,,Display the final winner podium.,"Given the last question has been answered, 
When the server finalizes the scores, 
Then a final podium screen displaying the Top 3 winners is shown.","- The podium correctly displays 1st, 2nd, and 3rd place.",MVP
FULL ,,,,,,
